codigo,sigla,nome_completo
MG-05,CBHAMMRG,CBH Afluentes Mineiros do Médio Rio Grande
MG-06,CBH FS6,"CBH Jequitaí, Pacuí e Trecho São Francisco"
MG-07,JQ1,CBH Afluentes Mineiros do Alto Jequitinhonha
MG-08,CBHAMMBJ,CBH dos Afluentes Mineiros do Médio e Baixo Jequitinhonha
MG-09,CBHARM,Águas do Rio Manhuaçu
MG-10,CBH GD6,CBH dos Rios Mogi-Guaçu/Pardo GD6
MG-11,CBHSF09,CBH do Rio Mosquito e demais afluentes mineiros do Rio Pardo
MG-12,CBHMC,CBH do Rio Mucuri
MG-13,CBHPA,CBH do Rio Pará
MG-14,CBHMRP,CBH Mineira do Rio Paracatu
MG-15,CBHPS1,CBH Preto e Paraibuna
MG-16,CBHAMBP,CBH dos Afluentes Mineiros do Baixo Paranaíba
MG-17,CBHAMAP,CBH dos Afluentes Mineiros do Alto Paranaíba
MG-18,CBHPRPB,CBH do Rio Paraopeba
MG-19,CBHRPCB,CBH do Rio Piracicaba
MG-20,CBHPJ,CBH dos Piracicaba e Jaguari
MG-21,CBHRPG,CBH do Rio Piranga
MG-22,CBHCOMPÉ,CBH dos Afluentes Mineiros dos Rios Pomba e Muriaé
MG-23,CBHRSA,CBH do Rio Santo Antonio
MG-24,CBHSF9,CBH dos Afluentes Mineiros do Médio São Francisco
MG-25,CBHAASF,CBH dos Afluentes do Alto São Francisco
MG-26,CBHSM1,CBH do Rio São Mateus
MG-27,CBHRSP,CBH do Rio Sapucaí
MG-28,CBHSU,CBH do Rio Suaçui
MG-29,CBHTM,CBH do Entorno da Represa de Três Marias
MG-30,CBHRV,CBH do Rio das Velhas
